int64_field_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
253,1.0,2019-01-01 00:34:12.000000 UTC,2019-01-01 00:46:11.000000 UTC,1.0,2.4,1.0,false,262,142,1.0,11.0,0.5,0.5,2.45,0.0,0.3,14.75,
254,1.0,2019-01-01 00:51:03.000000 UTC,2019-01-01 01:11:37.000000 UTC,1.0,3.8,1.0,false,239,234,1.0,16.0,0.5,0.5,3.7,0.0,0.3,21.0,
255,1.0,2019-01-01 00:57:47.000000 UTC,2019-01-01 01:12:37.000000 UTC,1.0,2.4,1.0,false,162,107,1.0,11.5,0.5,0.5,2.55,0.0,0.3,15.35,
256,1.0,2019-01-01 00:12:40.000000 UTC,2019-01-01 00:21:48.000000 UTC,1.0,1.0,1.0,false,137,186,1.0,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
257,1.0,2019-01-01 00:44:44.000000 UTC,2019-01-01 00:59:49.000000 UTC,1.0,1.8,1.0,false,162,186,2.0,11.0,0.5,0.5,0.0,0.0,0.3,12.3,
258,2.0,2019-01-01 00:16:49.000000 UTC,2019-01-01 00:43:20.000000 UTC,1.0,3.48,1.0,false,163,79,1.0,17.0,0.5,0.5,1.0,0.0,0.3,19.3,
259,2.0,2019-01-01 00:47:57.000000 UTC,2019-01-01 00:59:40.000000 UTC,1.0,1.5,1.0,false,79,125,1.0,9.0,0.5,0.5,2.06,0.0,0.3,12.36,
260,2.0,2019-01-01 00:27:06.000000 UTC,2019-01-01 00:51:51.000000 UTC,1.0,9.33,1.0,false,68,138,2.0,28.5,0.5,0.5,0.0,5.76,0.3,35.56,
261,1.0,2019-01-01 00:13:30.000000 UTC,2019-01-01 00:23:08.000000 UTC,2.0,2.0,1.0,false,211,261,2.0,9.5,0.5,0.5,0.0,0.0,0.3,10.8,
262,1.0,2019-01-01 00:37:32.000000 UTC,2019-01-01 01:06:59.000000 UTC,1.0,4.5,1.0,false,144,161,1.0,22.0,0.5,0.5,4.65,0.0,0.3,27.95,
263,1.0,2019-01-01 00:08:36.000000 UTC,2019-01-01 00:13:09.000000 UTC,1.0,0.8,1.0,false,141,141,1.0,5.0,0.5,0.5,1.25,0.0,0.3,7.55,
264,1.0,2019-01-01 00:32:42.000000 UTC,2019-01-01 00:58:33.000000 UTC,2.0,3.3,1.0,false,141,170,2.0,17.5,0.5,0.5,0.0,0.0,0.3,18.8,
265,1.0,2019-01-01 00:06:53.000000 UTC,2019-01-01 00:09:46.000000 UTC,1.0,0.7,1.0,false,142,142,1.0,4.5,0.5,0.5,1.4,0.0,0.3,7.2,
266,1.0,2019-01-01 00:31:40.000000 UTC,2019-01-01 00:36:27.000000 UTC,1.0,0.4,1.0,false,43,161,2.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,
267,1.0,2019-01-01 00:38:41.000000 UTC,2019-01-01 00:47:22.000000 UTC,1.0,1.8,1.0,false,161,263,1.0,8.5,0.5,0.5,1.95,0.0,0.3,11.75,
268,1.0,2019-01-01 00:48:31.000000 UTC,2019-01-01 00:55:42.000000 UTC,1.0,1.6,1.0,false,263,229,1.0,7.0,0.5,0.5,4.0,0.0,0.3,12.3,
269,1.0,2019-01-01 00:58:48.000000 UTC,2019-01-01 01:11:33.000000 UTC,1.0,2.4,1.0,false,237,236,1.0,10.5,0.5,0.5,2.35,0.0,0.3,14.15,
270,1.0,2019-01-01 00:23:26.000000 UTC,2019-01-01 00:26:41.000000 UTC,1.0,0.9,1.0,false,141,229,2.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,
271,1.0,2019-01-01 00:45:12.000000 UTC,2019-01-01 00:47:47.000000 UTC,1.0,0.4,1.0,false,137,107,1.0,4.0,0.5,0.5,1.05,0.0,0.3,6.35,
272,1.0,2019-01-01 00:51:16.000000 UTC,2019-01-01 00:52:48.000000 UTC,3.0,0.3,1.0,false,107,79,1.0,3.5,0.5,0.5,0.96,0.0,0.3,5.76,
273,1.0,2019-01-01 00:56:39.000000 UTC,2019-01-01 01:13:47.000000 UTC,1.0,1.8,1.0,false,79,164,1.0,12.0,0.5,0.5,2.65,0.0,0.3,15.95,
274,2.0,2019-01-01 00:50:42.000000 UTC,2019-01-01 01:09:45.000000 UTC,1.0,11.02,1.0,false,132,92,1.0,31.0,0.5,0.5,6.46,0.0,0.3,38.76,
275,2.0,2019-01-01 00:18:36.000000 UTC,2019-01-01 00:22:10.000000 UTC,1.0,0.67,1.0,false,170,162,1.0,4.5,0.5,0.5,1.45,0.0,0.3,7.25,
